행정동명,저가카페_매장수,전체_카페수,저가카페_비율(%),감성커피,더벤티,더카페,디저트39,만랩커피,매머드커피,메가커피,바나프레소,벤티프레소,봄봄,빽다방,셀렉토,영커피,요거프레소,우지커피,이디야,쥬씨,카페게이트,카페인중독,커피베이,커피사피엔스,커피에반하다,컴포즈커피,텐퍼센트,토프레소,하삼동
상일동,8,154.0,5.19,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
시흥4동,3,58.0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
행당2동,3,58.0,5.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
암사3동,3,58.0,5.17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
능동,6,116.0,5.17,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
명일1동,15,290.0,5.17,0,0,0,1,0,0,5,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0,1,1,0,0
성수2가3동,22,426.0,5.16,0,0,2,0,0,3,4,1,0,0,2,0,0,1,0,3,0,0,0,2,1,0,3,0,0,0
화곡3동,8,155.0,5.16,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
이문2동,4,78.0,5.13,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
송중동,15,294.0,5.1,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1
면목7동,7,138.0,5.07,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0
화곡4동,9,178.0,5.06,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0
성내1동,15,297.0,5.05,0,0,0,1,1,1,3,0,0,0,1,1,2,0,0,3,0,0,0,1,0,0,1,0,0,0
천호3동,10,198.0,5.05,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0
서초4동,22,437.0,5.03,0,0,1,0,1,3,4,2,1,0,1,0,1,1,0,3,0,0,0,0,1,0,1,1,1,0
자양3동,13,259.0,5.02,0,0,1,1,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
석촌동,21,418.0,5.02,0,2,0,2,0,0,4,0,0,0,3,1,0,0,0,4,0,1,0,1,0,0,3,0,0,0
삼전동,13,260.0,5.0,0,0,0,0,0,1,3,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,3,0,0,1
방배1동,13,260.0,5.0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0,2,1,0,0,1,0,0,2,0,0,0
응봉동,1,20.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고척2동,6,120.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
역촌동,13,260.0,5.0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,3,1,0,0,2,0,0,2,0,0,0
전농1동,19,382.0,4.97,0,1,0,0,0,1,4,0,0,0,1,2,1,1,0,2,0,1,1,1,0,1,1,0,1,0
서초1동,23,463.0,4.97,0,2,0,1,1,3,8,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,3,0,0,0
영등포동,47,945.0,4.97,0,1,1,0,0,10,8,0,2,0,3,1,0,1,0,11,2,0,0,2,1,1,1,1,1,0
상도2동,13,262.0,4.96,0,0,0,0,0,1,3,0,0,0,2,1,0,0,0,3,0,0,0,2,0,0,1,0,0,0
창3동,4,81.0,4.94,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
상계5동,7,142.0,4.93,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
노량진2동,8,163.0,4.91,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0
서초2동,25,511.0,4.89,0,0,1,0,1,5,5,0,0,0,1,0,2,0,0,5,2,0,0,0,0,0,0,2,1,0
고덕1동,4,82.0,4.88,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
사근동,10,206.0,4.85,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0
면목2동,8,165.0,4.85,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0
독산4동,4,83.0,4.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
암사1동,11,228.0,4.82,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,1,0
신당5동,4,83.0,4.82,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
수유3동,18,375.0,4.8,1,0,0,1,0,0,4,0,0,0,1,0,0,1,1,3,1,0,2,1,0,1,1,0,0,0
